[ 1.          0.99999702  0.99999899 ...,  1.          1.          1.        ]
[ 1.          0.99835044  0.99787831 ...,  1.          1.          1.        ]
[ 1.          0.99855071  0.99770933 ...,  1.          1.          1.        ]
[ 1.          0.99902487  0.99801826 ...,  1.          1.          1.        ]
[ 1.          0.99905235  0.99847317 ...,  1.          1.          1.        ]
[ 1.          0.99916089  0.99806422 ...,  1.          1.          1.        ]
[ 1.          0.99914861  0.99806261 ...,  1.          1.          1.        ]
[ 1.          0.99943668  0.99842685 ...,  1.          1.          1.        ]
[ 1.          0.99949253  0.99885416 ...,  1.          1.          1.        ]
[ 1.          0.99973208  0.9991557  ...,  1.          1.          1.        ]
[ 1.          0.99982297  0.99920839 ...,  1.          1.          1.        ]
[ 1.          0.99998319  0.99902058 ...,  1.          1.          1.        ]
[ 1.          1.00047469  0.99984002 ...,  1.          1.          1.        ]
[ 1.          1.00060463  1.00000834 ...,  1.          1.          1.        ]
[ 1.          1.00080097  1.00040579 ...,  1.          1.          1.        ]
[ 1.          1.00083196  1.00078559 ...,  1.          1.          1.        ]
[ 1.          1.00128472  1.00091183 ...,  1.          1.          1.        ]
[ 1.          1.00141609  1.00089955 ...,  1.          1.          1.        ]
[ 1.          1.00183749  1.00108373 ...,  1.          1.          1.        ]
[ 1.          1.00204456  1.00091875 ...,  1.          1.          1.        ]
[ 1.          1.00223196  1.0007273  ...,  1.          1.          1.        ]
[ 1.          1.00247347  1.00109589 ...,  1.          1.          1.        ]
[ 1.          1.00263035  1.00080967 ...,  1.          1.          1.        ]
[ 1.          1.00269139  1.00093341 ...,  1.          1.          1.        ]
[ 1.          1.00272822  1.00075746 ...,  1.          1.          1.        ]
[ 1.          1.00285316  1.0008862  ...,  1.          1.          1.        ]
[ 1.          1.00298464  1.00063086 ...,  1.          1.          1.        ]
[ 1.          1.00283945  1.00030863 ...,  1.          1.          1.        ]
[ 1.          1.00327015  1.00094604 ...,  1.          1.          1.        ]
[ 1.          1.00318062  1.00107145 ...,  1.          1.          1.        ]
[ 1.          1.00314748  1.00093687 ...,  1.          1.          1.        ]
[ 1.          1.00323856  1.00076139 ...,  1.          1.          1.        ]
[ 1.          1.00357628  1.00109899 ...,  1.          1.          1.        ]
[ 1.         1.0039531  1.0009141 ...,  1.         1.         1.       ]
[ 1.          1.0038358   1.00107086 ...,  1.          1.          1.        ]
[ 1.          1.00396514  1.0010823  ...,  1.          1.          1.        ]
[ 1.          1.00441432  1.00124872 ...,  1.          1.          1.        ]
[ 1.          1.00457931  1.00121963 ...,  1.          1.          1.        ]
[ 1.          1.00489151  1.00150001 ...,  1.          1.          1.        ]
[ 1.          1.00526369  1.00195646 ...,  1.          1.          1.        ]
[ 1.          1.00531471  1.00194919 ...,  1.          1.          1.        ]
[ 1.          1.00550294  1.00208545 ...,  1.          1.          1.        ]
[ 1.          1.00522923  1.00204825 ...,  1.          1.          1.        ]
[ 1.          1.00526345  1.00218344 ...,  1.          1.          1.        ]
[ 1.          1.0054692   1.00239992 ...,  1.          1.          1.        ]
[ 1.          1.00538158  1.00289655 ...,  1.          1.          1.        ]
[ 1.          1.00594473  1.00278711 ...,  1.          1.          1.        ]
[ 1.          1.00622261  1.00301647 ...,  1.          1.          1.        ]
[ 1.          1.00647342  1.00353146 ...,  1.          1.          1.        ]
[ 1.          1.00629413  1.00384271 ...,  1.          1.          1.        ]
[ 1.          1.00648749  1.00401986 ...,  1.          1.          1.        ]
[ 1.          1.00659919  1.00446367 ...,  1.          1.          1.    
